,area,build_year,price,number_of_rooms,level,price_average
155,87.0,1996.2546383436409,199000.0,3.0,5,193431.84020618556
156,46.0,1996.2546383436409,125000.0,2.8452239216045427,5,193431.84020618556
157,72.21,1996.2546383436409,190634.0,3.0,3,193431.84020618556
158,101.59,1996.2546383436409,279373.0,4.0,4,193431.84020618556
159,192.93,1996.2546383436409,551780.0,6.0,5,193431.84020618556
160,225.66,1996.2546383436409,645388.0,5.0,5,193431.84020618556
161,72.21,1996.2546383436409,190634.0,3.0,2,193431.84020618556
162,57.74,1996.2546383436409,152434.0,2.0,2,193431.84020618556
163,97.0,1937.0,250000.0,3.0,2,193431.84020618556
164,79.95,1996.2546383436409,211068.0,3.0,2,193431.84020618556
165,50.19,1996.2546383436409,121460.0,2.0,0,193431.84020618556
166,53.26,1996.2546383436409,128889.0,2.0,0,193431.84020618556
167,102.0,2021.0,225000.0,4.0,4,193431.84020618556
168,56.0,1996.2546383436409,139000.0,2.0,2,193431.84020618556
169,62.0,1996.2546383436409,120000.0,2.0,4,193431.84020618556
170,73.0,1996.2546383436409,210000.0,4.0,0,193431.84020618556
171,58.0,1996.2546383436409,185000.0,2.0,2,193431.84020618556
172,68.0,2021.0,169250.0,3.0,1,193431.84020618556
173,60.0,1960.0,145000.0,3.0,2,193431.84020618556
174,62.0,1996.2546383436409,165000.0,3.0,4,193431.84020618556
175,43.0,1996.2546383436409,140000.0,2.8452239216045427,6,193431.84020618556
176,94.0,1996.2546383436409,300800.0,3.0,1,193431.84020618556
177,89.0,1996.2546383436409,195000.0,3.0,7,193431.84020618556
178,96.0,1937.0,280000.0,4.0,1,193431.84020618556
179,84.0,1996.2546383436409,170000.0,2.8452239216045427,5,193431.84020618556
180,130.0,1996.2546383436409,300000.0,6.0,1,193431.84020618556
181,62.0,1996.2546383436409,125000.0,3.0,0,193431.84020618556
182,119.0,1935.0,400000.0,5.0,1,193431.84020618556
183,79.0,1996.2546383436409,245000.0,3.0,2,193431.84020618556
184,120.0,1996.2546383436409,250000.0,4.0,0,193431.84020618556
185,85.0,1996.2546383436409,210000.0,3.0,1,193431.84020618556
186,302.0,1996.2546383436409,644700.0,6.0,5,193431.84020618556
187,70.0,1996.2546383436409,170000.0,2.0,0,193431.84020618556
188,52.26,1996.2546383436409,132217.0,2.0,2,193431.84020618556
189,88.0,1996.2546383436409,193000.0,3.0,9,193431.84020618556
190,176.0,1996.2546383436409,350000.0,5.0,0,193431.84020618556
191,115.0,1996.2546383436409,320000.0,4.0,1,193431.84020618556
192,99.0,1996.2546383436409,265000.0,3.0,1,193431.84020618556
193,82.0,1996.2546383436409,228000.0,3.0,3,193431.84020618556
194,82.0,1928.0,220000.0,3.0,0,193431.84020618556
195,48.0,1996.2546383436409,130000.0,2.0,4,193431.84020618556
196,86.0,1996.2546383436409,280000.0,3.0,2,193431.84020618556
197,70.0,1996.2546383436409,144000.0,3.0,2,193431.84020618556
198,136.0,1996.2546383436409,360000.0,5.0,3,193431.84020618556
199,87.0,1950.0,280000.0,3.0,2,193431.84020618556
200,72.0,1996.2546383436409,125000.0,3.0,0,193431.84020618556
201,94.0,1995.0,285000.0,4.0,2,193431.84020618556
202,107.0,1996.2546383436409,350000.0,3.0,2,193431.84020618556
203,64.0,1996.2546383436409,185000.0,2.0,2,193431.84020618556
204,60.0,2021.0,139000.0,4.0,4,193431.84020618556
205,103.0,1996.2546383436409,295000.0,3.0,1,193431.84020618556
206,115.0,2021.0,287500.0,4.0,0,193431.84020618556
207,121.0,2021.0,303000.0,4.0,1,193431.84020618556
208,128.0,2021.0,320000.0,4.0,0,193431.84020618556
209,106.0,2021.0,264000.0,4.0,0,193431.84020618556
210,117.0,1996.2546383436409,386100.0,2.0,7,193431.84020618556
